exp: x/lambda	exp: y/lambda	theory: x/lambda	theory: y/lambda
-1.6458184	-0.002376711	-4	0
-1.636103891	-0.000242502	-3.99113901	-4.96E-09
-1.625904391	0.000164884	-3.982278019	-9.98E-09
-1.620723951	0.003059311	-3.973417029	-1.51E-08
-1.615148183	0.00304745	-3.964556039	-2.02E-08
-1.605878012	0.001059199	-3.955695049	-2.54E-08
-1.608661251	-0.002436845	-3.946834059	-3.06E-08
-1.591365551	-0.003469594	-3.937973069	-3.59E-08
-1.588477397	-0.00443438	-3.929112079	-4.13E-08
-1.577665036	0.004185318	-3.92025109	-4.67E-08
-1.572934988	-0.000770305	-3.9113901	-5.21E-08
-1.564464867	0.001462562	-3.90252911	-5.77E-08
-1.555438299	-0.001281582	-3.893668121	-6.33E-08
-1.550631793	-0.00231472	-3.884807131	-6.89E-08
-1.537178621	-0.002133993	-3.875946142	-7.47E-08
-1.533547084	0.0013004	-3.867085152	-8.05E-08
-1.526845755	0.001836438	-3.858224163	-8.63E-08
-1.51704176	0.00024538	-3.849363174	-9.23E-08
-1.509060828	-0.011108072	-3.840502185	-9.83E-08
-1.505812936	-0.001775139	-3.831641196	-1.04E-07
-1.503078245	-0.002133542	-3.822780207	-1.10E-07
-1.48934886	0.00336952	-3.813919218	-1.17E-07
-1.482139935	-0.001908328	-3.805058229	-1.23E-07
-1.4732605	0.002240643	-3.79619724	-1.29E-07
-1.467196015	-0.002101583	-3.787336252	-1.36E-07
-1.46923096	-0.001913814	-3.778475263	-1.42E-07
-1.460347048	0.001660764	-3.769614275	-1.49E-07
-1.453614945	0.002510977	-3.760753286	-1.55E-07
-1.435905695	0.00194197	-3.751892298	-1.62E-07
-1.431763071	-0.005128465	-3.74303131	-1.69E-07
-1.427126552	0.004007089	-3.734170322	-1.76E-07
-1.416061722	0.000300786	-3.725309334	-1.83E-07
-1.401903813	0.00014411	-3.716448346	-1.90E-07
-1.401580992	-0.0005382	-3.707587358	-1.97E-07
-1.393269716	0.001718521	-3.69872637	-2.04E-07
-1.390230434	0.0042384	-3.689865382	-2.12E-07
-1.374921846	0.004278478	-3.681004395	-2.19E-07
-1.375654128	0.001432767	-3.672143407	-2.27E-07
-1.369942746	-0.000726037	-3.66328242	-2.34E-07
-1.356121273	-0.002982429	-3.654421433	-2.42E-07
-1.348477643	0.001595633	-3.645560446	-2.50E-07
-1.344040286	-0.001719029	-3.636699459	-2.58E-07
-1.333670274	0.001513512	-3.627838472	-2.66E-07
-1.333661291	0.004386498	-3.618977485	-2.74E-07
-1.324735406	0.001663141	-3.610116498	-2.82E-07
-1.311589326	8.07E-05	-3.601255511	-2.90E-07
-1.306784308	0.000176378	-3.592394525	-2.98E-07
-1.30095148	0.007509716	-3.583533538	-3.07E-07
-1.291989689	-0.001450387	-3.574672552	-3.15E-07
-1.283603578	0.00292753	-3.565811566	-3.24E-07
-1.27567867	-0.001527752	-3.55695058	-3.33E-07
-1.259384762	-0.004370364	-3.548089594	-3.42E-07
-1.260943953	0.002080112	-3.539228608	-3.51E-07
-1.259329611	0.001575437	-3.530367622	-3.60E-07
-1.243087244	0.000733049	-3.521506637	-3.69E-07
-1.242216811	0.005730751	-3.512645651	-3.78E-07
-1.227493636	-0.005607169	-3.503784666	-3.88E-07
-1.23041809	0.00223112	-3.494923681	-3.97E-07
-1.218006495	-0.001953895	-3.486062696	-4.07E-07
-1.206380252	-0.000752873	-3.477201711	-4.17E-07
-1.205835546	0.0045015	-3.468340726	-4.27E-07
-1.196942554	-0.001201554	-3.459479741	-4.37E-07
-1.183498554	-0.007032537	-3.450618757	-4.47E-07
-1.181609682	0.000490462	-3.441757772	-4.57E-07
-1.178934532	0.001316277	-3.432896788	-4.68E-07
-1.164193909	0.005318364	-3.424035804	-4.78E-07
-1.158247928	-0.004078902	-3.41517482	-4.89E-07
-1.150752356	0.000284847	-3.406313836	-4.99E-07
-1.152187997	-0.005549978	-3.397452853	-5.10E-07
-1.133493386	-0.002175529	-3.388591869	-5.21E-07
-1.1302384	0.000115186	-3.379730886	-5.33E-07
-1.120738517	0.001120365	-3.370869902	-5.44E-07
-1.119152358	-0.004006758	-3.362008919	-5.55E-07
-1.102991787	-0.002581351	-3.353147936	-5.67E-07
-1.101791892	-0.004039316	-3.344286954	-5.79E-07
-1.092909337	-0.001008236	-3.335425971	-5.91E-07
-1.084922867	0.00290633	-3.326564989	-6.03E-07
-1.075205338	0.002788614	-3.317704006	-6.15E-07
-1.069058207	-0.000866753	-3.308843024	-6.27E-07
-1.063112226	-0.000463545	-3.299982042	-6.40E-07
-1.055868577	0.002875264	-3.291121061	-6.52E-07
-1.051220263	0.001568292	-3.282260079	-6.65E-07
-1.042329749	-0.000695821	-3.273399098	-6.78E-07
-1.027111809	0.000503605	-3.264538116	-6.91E-07
-1.025056252	-0.006558217	-3.255677135	-7.04E-07
-1.023112872	0.001066509	-3.246816155	-7.18E-07
-1.009598393	-0.000711087	-3.237955174	-7.31E-07
-1.001264355	0.006863124	-3.229094194	-7.45E-07
-0.993616713	0.001209604	-3.220233213	-7.59E-07
-0.98753632	0.001363884	-3.211372233	-7.73E-07
-0.982838091	-0.000774556	-3.202511253	-7.88E-07
-0.976807105	-0.000625239	-3.193650274	-8.02E-07
-0.970713136	0.002266072	-3.184789294	-8.17E-07
-0.95759505	0.00433208	-3.175928315	-8.32E-07
-0.950718875	0.001829419	-3.167067336	-8.47E-07
-0.939219053	0.003074227	-3.158206357	-8.62E-07
-0.938246617	-0.006470269	-3.149345379	-8.78E-07
-0.934443548	-0.002569864	-3.1404844	-8.93E-07
-0.919258672	0.003208337	-3.131623422	-9.09E-07
-0.920205127	-0.000477055	-3.122762444	-9.25E-07
-0.908451285	-0.000446284	-3.113901467	-9.42E-07
-0.901791648	-0.001158525	-3.105040489	-9.58E-07
-0.884732785	-0.00633017	-3.096179512	-9.75E-07
-0.875855986	-0.003427801	-3.087318535	-9.92E-07
-0.878961425	-0.001312632	-3.078457559	-1.01E-06
-0.869965903	0.001901794	-3.069596582	-1.03E-06
-0.860898187	-0.001746704	-3.060735606	-1.04E-06
-0.859351953	-0.000708366	-3.05187463	-1.06E-06
-0.848981695	0.002541935	-3.043013655	-1.08E-06
-0.852062596	-0.001438529	-3.03415268	-1.10E-06
-0.841743549	-0.003052456	-3.025291705	-1.12E-06
-0.830703173	0.003567433	-3.01643073	-1.14E-06
-0.823435891	-0.002124018	-3.007569755	-1.16E-06
-0.81658897	0.002617045	-2.998708781	-1.18E-06
-0.8105628	-0.000190012	-2.989847808	-1.20E-06
-0.79431573	-0.000480742	-2.980986834	-1.22E-06
-0.789614216	0.001374809	-2.972125861	-1.24E-06
-0.788205664	-0.004636963	-2.963264888	-1.26E-06
-0.777319753	-0.000187313	-2.954403915	-1.28E-06
-0.767968474	0.003181945	-2.945542943	-1.30E-06
-0.764075551	0.005801046	-2.936681971	-1.32E-06
-0.756818825	-0.002904725	-2.927821	-1.34E-06
-0.735960974	-0.002940466	-2.918960029	-1.36E-06
-0.739440553	0.001232034	-2.910099058	-1.39E-06
-0.732380504	0.004008921	-2.901238087	-1.41E-06
-0.720044772	0.006043179	-2.892377117	-1.43E-06
-0.709049656	0.004301054	-2.883516148	-1.46E-06
-0.711713308	0.001014547	-2.874655178	-1.48E-06
-0.706353344	-0.002442853	-2.865794209	-1.50E-06
-0.6885154	0.000129508	-2.856933241	-1.53E-06
-0.689435956	-0.000943491	-2.848072273	-1.55E-06
-0.682070262	-0.001411496	-2.839211305	-1.58E-06
-0.665397917	0.001795001	-2.830350338	-1.60E-06
-0.666864485	-0.004947388	-2.821489371	-1.63E-06
-0.655219421	-0.004061558	-2.812628404	-1.66E-06
-0.651163306	0.006107762	-2.803767438	-1.68E-06
-0.644440007	-0.001100196	-2.794906473	-1.71E-06
-0.642847931	-0.001650835	-2.786045508	-1.74E-06
-0.623109605	-0.002253068	-2.777184543	-1.77E-06
-0.619759393	0.000309511	-2.768323579	-1.79E-06
-0.610335137	0.00283299	-2.759462615	-1.82E-06
-0.602365279	-0.002492687	-2.750601652	-1.85E-06
-0.602419554	-0.002627058	-2.74174069	-1.88E-06
-0.587433716	-0.002389297	-2.732879727	-1.91E-06
-0.580278434	-0.006665963	-2.724018766	-1.94E-06
-0.575195534	0.003140939	-2.715157805	-1.97E-06
-0.566505186	-0.002596267	-2.706296844	-2.01E-06
-0.56469785	0.004044771	-2.697435884	-2.04E-06
-0.55639731	0.001530785	-2.688574924	-2.07E-06
-0.538807295	-0.003112152	-2.679713965	-2.10E-06
-0.540730701	-0.004770216	-2.670853007	-2.14E-06
-0.531002581	-0.002115141	-2.661992049	-2.17E-06
-0.51608194	-0.002170287	-2.653131092	-2.21E-06
-0.512865235	0.001193303	-2.644270136	-2.24E-06
-0.511614478	-0.000406617	-2.63540918	-2.28E-06
-0.500232902	0.010790735	-2.626548224	-2.31E-06
-0.489746266	-0.000358209	-2.61768727	-2.35E-06
-0.494005653	0.003208298	-2.608826316	-2.39E-06
-0.478213635	0.001718247	-2.599965362	-2.43E-06
-0.478479183	0.00532383	-2.59110441	-2.46E-06
-0.464899604	-0.001142411	-2.582243458	-2.50E-06
-0.456622126	0.000736605	-2.573382506	-2.54E-06
-0.452879082	-6.03E-05	-2.564521556	-2.58E-06
-0.443735344	0.000770342	-2.555660606	-2.63E-06
-0.435801523	0.003564516	-2.546799657	-2.67E-06
-0.42689222	-0.005045317	-2.537938709	-2.71E-06
-0.418193242	0.003751746	-2.529077761	-2.75E-06
-0.418905188	-0.003137031	-2.520216814	-2.80E-06
-0.405467177	0.002851356	-2.511355868	-2.84E-06
-0.397158565	0.002359936	-2.502494923	-2.89E-06
-0.392193562	-0.000166865	-2.493633979	-2.93E-06
-0.386332122	0.001285119	-2.484773036	-2.98E-06
-0.376115396	-0.002324039	-2.475912093	-3.03E-06
-0.373016118	0.002373269	-2.467051151	-3.08E-06
