exp: x/lambda	exp: y/lambda	exp:z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda								
-1.997128063	0.000407207	0.02963326	-4	0	0.033333333								
-1.987389447	-0.001929723	0.030526659	-3.990706666	-9.10E-09	0.033333334								
-1.980023778	-0.000160548	0.031493768	-3.981413332	-1.82E-08	0.033333335								
-1.97099213	-0.001700988	0.032187237	-3.972119998	-2.76E-08	0.033333336								
-1.964240089	-0.001005837	0.02865866	-3.962826665	-3.69E-08	0.033333336								
-1.955618908	-0.00025048	0.025934729	-3.953533331	-4.64E-08	0.033333337								
-1.949609549	0.00034173	0.025950409	-3.944239997	-5.60E-08	0.033333338								
-1.938900897	-0.002418588	0.025562573	-3.934946664	-6.57E-08	0.033333339								
-1.931061165	0.0002283	0.024664322	-3.925653331	-7.54E-08	0.033333339								
-1.921894335	-0.000501279	0.023375655	-3.916359998	-8.54E-08	0.03333334								
-1.915507429	-0.003310208	0.021445876	-3.907066665	-9.54E-08	0.033333341								
-1.906975953	0.00124871	0.01911954	-3.897773332	-1.06E-07	0.033333342								
-1.899019838	0.000400767	0.031323883	-3.888479999	-1.16E-07	0.033333343								
-1.892018968	-0.001366709	0.038701619	-3.879186667	-1.26E-07	0.033333343								
-1.881851715	-0.000589603	0.034533036	-3.869893334	-1.37E-07	0.033333344								
-1.872972592	-0.000882273	0.030892588	-3.860600002	-1.47E-07	0.033333345								
-1.865562898	-0.000858715	0.0293979	-3.851306669	-1.58E-07	0.033333346								
-1.858937296	-0.002244796	0.02888136	-3.842013337	-1.69E-07	0.033333347								
-1.849723307	-0.001042703	0.027852983	-3.832720005	-1.80E-07	0.033333348								
-1.842743643	-0.000583847	0.027047332	-3.823426674	-1.91E-07	0.033333349								
-1.833899559	-0.000335469	0.026719305	-3.814133342	-2.02E-07	0.03333335								
-1.825785708	0.000602016	0.027029985	-3.804840011	-2.14E-07	0.03333335								
-1.819094676	-0.002117097	0.027487336	-3.79554668	-2.25E-07	0.033333351								
-1.809253443	-0.001994644	0.028671182	-3.786253349	-2.37E-07	0.033333352								
-1.801644163	-0.00193772	0.02954952	-3.776960018	-2.49E-07	0.033333353								
-1.793479234	-0.001472462	0.030491996	-3.767666687	-2.61E-07	0.033333354								
-1.787281087	-0.000108261	0.033566463	-3.758373357	-2.73E-07	0.033333355								
-1.776302432	-0.001395691	0.03633616	-3.749080026	-2.86E-07	0.033333356								
-1.769020465	-0.000167636	0.033758901	-3.739786696	-2.98E-07	0.033333357								
-1.759423043	-0.000964874	0.030362147	-3.730493366	-3.11E-07	0.033333359								
-1.750888823	0.001451973	0.027284842	-3.721200037	-3.24E-07	0.03333336								
-1.744941874	-0.001599507	0.025094197	-3.711906707	-3.37E-07	0.033333361								
-1.735164382	0.000255433	0.022889428	-3.702613378	-3.50E-07	0.033333362								
-1.727362496	0.00032753	0.022463699	-3.693320048	-3.64E-07	0.033333363								
-1.722171285	-5.30376E-05	0.022151245	-3.684026719	-3.77E-07	0.033333364								
-1.711438431	-9.29223E-05	0.021419737	-3.67473339	-3.91E-07	0.033333365								
-1.703476487	-0.000186051	0.020877084	-3.665440061	-4.05E-07	0.033333366								
