exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
-1.990247381	-0.001710315	0.032538611	-4	0	0.033333333
-1.983117496	-0.000186519	0.03159992	-3.990706657	-3.06E-09	0.033333334
-1.973602953	-0.001232289	0.03032514	-3.981413314	-6.05E-09	0.033333334
-1.965158927	0.000246172	0.028794016	-3.972119971	-9.21E-09	0.033333334
-1.956853301	0.000741716	0.0277105	-3.962826627	-1.22E-08	0.033333334
-1.949686302	0.000152666	0.029771506	-3.953533284	-1.54E-08	0.033333335
-1.941097153	-0.001065996	0.031595265	-3.944239941	-1.85E-08	0.033333335
-1.931550383	7.8386E-05	0.033064459	-3.934946599	-2.18E-08	0.033333335
-1.923542965	-0.001574479	0.034028643	-3.925653256	-2.49E-08	0.033333335
-1.91637387	-0.000728389	0.033827774	-3.916359913	-2.82E-08	0.033333336
-1.908165084	-0.000158753	0.033946708	-3.90706657	-3.14E-08	0.033333336
-1.898722141	-0.002030678	0.034754485	-3.897773227	-3.48E-08	0.033333336
-1.892869728	-0.000252769	0.034734738	-3.888479884	-3.80E-08	0.033333336
-1.884102743	0.000354207	0.03224128	-3.879186542	-4.15E-08	0.033333337
-1.875869622	-0.000461828	0.030650199	-3.869893199	-4.48E-08	0.033333337
-1.869239622	-0.000466075	0.029817574	-3.860599856	-4.83E-08	0.033333337
-1.859551741	0.000500679	0.030221454	-3.851306513	-5.16E-08	0.033333337
-1.851216643	0.000551073	0.032526515	-3.842013171	-5.53E-08	0.033333338
-1.843011633	-0.000477795	0.033411405	-3.832719828	-5.87E-08	0.033333338
-1.835541892	-0.00010559	0.033190076	-3.823426486	-6.24E-08	0.033333338
-1.826684866	-8.82845E-05	0.033171652	-3.814133143	-6.60E-08	0.033333339
-1.820239379	-0.000258378	0.033229779	-3.804839801	-6.98E-08	0.033333339
-1.810766618	-0.001946816	0.03323852	-3.795546459	-7.36E-08	0.033333339
-1.803224973	-0.001503007	0.033228658	-3.786253116	-7.74E-08	0.03333334
-1.794993718	-0.000192241	0.033374966	-3.776959774	-8.12E-08	0.03333334
-1.787113173	0.000619049	0.03405771	-3.767666432	-8.52E-08	0.03333334
-1.778702145	-0.000810366	0.03376749	-3.75837309	-8.93E-08	0.033333341
-1.771565	-0.000188222	0.033118026	-3.749079748	-9.33E-08	0.033333341
