exp: x/lambda	exp: y/lambda	exp: z/lambda	theory: x/lambda	theory: y/lambda	theory: z/lambda
-1.999557671	-0.001389313	0.029040711	-4	0	0.033333333
-1.992838592	-0.000414028	0.027451841	-3.990706661	-5.68E-09	0.033333334
-1.984617148	-0.002011081	0.027659019	-3.981413322	-1.14E-08	0.033333334
-1.976814553	-0.000263669	0.029584147	-3.972119983	-1.72E-08	0.033333335
-1.9683905	-0.001849454	0.032157943	-3.962826644	-2.31E-08	0.033333335
-1.96128092	-0.001173122	0.033144518	-3.953533305	-2.91E-08	0.033333336
-1.951493199	-0.000424758	0.03215204	-3.944239966	-3.51E-08	0.033333336
-1.943101536	-0.000740663	0.031098104	-3.934946628	-4.12E-08	0.033333337
-1.932865607	-0.001255256	0.031683545	-3.925653289	-4.74E-08	0.033333337
-1.927932121	0.000202784	0.033171587	-3.91635995	-5.36E-08	0.033333338
-1.916979109	0.00096646	0.034398502	-3.907066612	-5.99E-08	0.033333338
-1.909754538	-0.000187522	0.031656487	-3.897773274	-6.63E-08	0.033333339
-1.900100353	0.001753104	0.028471756	-3.888479935	-7.28E-08	0.033333339
-1.890601482	-0.000993129	0.03025556	-3.879186597	-7.94E-08	0.03333334
-1.884125408	-0.002150018	0.032532273	-3.869893259	-8.60E-08	0.03333334
-1.877161315	0.000491147	0.033480938	-3.860599921	-9.27E-08	0.033333341
-1.868162873	-0.001057136	0.032699919	-3.851306583	-9.95E-08	0.033333341
-1.858752546	-0.000149772	0.031969705	-3.842013246	-1.06E-07	0.033333342
-1.849860351	-0.000475673	0.031919265	-3.832719908	-1.13E-07	0.033333342
-1.842838889	-0.000823972	0.031508013	-3.82342657	-1.20E-07	0.033333343
-1.833910597	-0.001382833	0.030825872	-3.814133233	-1.28E-07	0.033333344
-1.826367959	2.72209E-05	0.033118475	-3.804839895	-1.35E-07	0.033333344
-1.817134439	-0.000782446	0.036414644	-3.795546558	-1.42E-07	0.033333345
-1.809049108	-0.001972306	0.034588901	-3.786253221	-1.49E-07	0.033333345
-1.801315844	1.00E-05	0.032039477	-3.776959884	-1.57E-07	0.033333346
-1.792035704	7.60985E-05	0.034589576	-3.767666547	-1.65E-07	0.033333347
-1.785706451	-0.001516183	0.037944395	-3.75837321	-1.72E-07	0.033333347
-1.776366734	0.000516979	0.037641985	-3.749079873	-1.80E-07	0.033333348
-1.766767262	-0.000837344	0.033886069	-3.739786536	-1.88E-07	0.033333349
-1.758323761	0.000647363	0.032459635	-3.7304932	-1.96E-07	0.033333349
-1.751339316	-0.000728367	0.032748631	-3.721199863	-2.04E-07	0.03333335
-1.742025165	-0.001102662	0.032815259	-3.711906527	-2.12E-07	0.033333351
-1.733585192	0.000486435	0.031537779	-3.702613191	-2.20E-07	0.033333351
-1.724177894	-6.13204E-05	0.029007429	-3.693319855	-2.29E-07	0.033333352
-1.716661349	-0.00019631	0.028395958	-3.684026519	-2.37E-07	0.033333353
-1.707863993	0.0020376	0.031259267	-3.674733183	-2.46E-07	0.033333353
-1.69970959	0.001093503	0.034489196	-3.665439847	-2.55E-07	0.033333354
-1.693344501	0.000217058	0.034920197	-3.656146511	-2.63E-07	0.033333355
-1.681765852	-0.000278526	0.032300907	-3.646853176	-2.72E-07	0.033333356
-1.673943492	-0.000342773	0.031579717	-3.637559841	-2.81E-07	0.033333356
-1.666912117	-0.000153541	0.031505412	-3.628266505	-2.91E-07	0.033333357
-1.657626225	0.000148368	0.029994493	-3.61897317	-3.00E-07	0.033333358
-1.649832247	-0.000796475	0.028840762	-3.609679835	-3.09E-07	0.033333359
-1.640960983	0.001345896	0.029607615	-3.600386501	-3.19E-07	0.03333336
-1.633138868	-0.000154845	0.032166056	-3.591093166	-3.28E-07	0.03333336
-1.624448967	-0.000606267	0.035359528	-3.581799831	-3.38E-07	0.033333361
-1.615495041	0.001063846	0.036459046	-3.572506497	-3.48E-07	0.033333362
-1.606347284	-0.000296847	0.033964128	-3.563213163	-3.58E-07	0.033333363
-1.598030409	0.000246179	0.032164628	-3.553919829	-3.68E-07	0.033333364
-1.591240876	0.000914299	0.033226795	-3.544626495	-3.79E-07	0.033333365
-1.582636057	0.000582415	0.033475192	-3.535333161	-3.89E-07	0.033333366
-1.573168791	-0.000224727	0.028069161	-3.526039827	-4.00E-07	0.033333367
-1.567137928	-0.001662647	0.026110148	-3.516746494	-4.10E-07	0.033333368
-1.557414457	-0.000620526	0.034339266	-3.50745316	-4.21E-07	0.033333369
-1.547120502	-0.000584371	0.040881904	-3.498159827	-4.32E-07	0.033333369
-1.539973124	-0.000369921	0.036050642	-3.488866494	-4.43E-07	0.03333337
-1.530594822	-0.000387411	0.028414508	-3.479573161	-4.55E-07	0.033333371
-1.522968319	-0.000115004	0.028126728	-3.470279829	-4.66E-07	0.033333372
-1.515139953	0.0004429	0.030692939	-3.460986496	-4.78E-07	0.033333374
-1.506949499	0.000337388	0.030714757	-3.451693164	-4.89E-07	0.033333375
-1.498060811	0.000523709	0.029611823	-3.442399832	-5.01E-07	0.033333376
-1.488943119	-0.001550359	0.030514569	-3.4331065	-5.13E-07	0.033333377
-1.479856581	-0.000841633	0.03145241	-3.423813168	-5.25E-07	0.033333378
-1.472988467	0.000356441	0.031147387	-3.414519836	-5.38E-07	0.033333379
-1.463765791	-0.001167199	0.030833911	-3.405226505	-5.50E-07	0.03333338
-1.456989473	-3.23615E-05	0.031248011	-3.395933174	-5.63E-07	0.033333381
-1.446736249	-6.9827E-05	0.032422547	-3.386639843	-5.76E-07	0.033333382
-1.438722002	0.000745441	0.033469859	-3.377346512	-5.89E-07	0.033333384
-1.43045936	0.00292784	0.034626296	-3.368053181	-6.02E-07	0.033333385
-1.420489719	0.001406322	0.035120628	-3.358759851	-6.16E-07	0.033333386
-1.412545738	0.000183932	0.033266657	-3.349466521	-6.29E-07	0.033333387
-1.404742455	0.001596607	0.031137264	-3.340173191	-6.43E-07	0.033333389
-1.398928674	-2.8545E-05	0.030800172	-3.330879861	-6.57E-07	0.03333339
-1.388626483	0.001296562	0.029737609	-3.321586532	-6.71E-07	0.033333391
-1.380195611	-0.000756565	0.026928531	-3.312293202	-6.86E-07	0.033333393
-1.373626612	-0.000492433	0.02519622	-3.302999873	-7.00E-07	0.033333394
-1.363770094	0.001368327	0.026507406	-3.293706544	-7.15E-07	0.033333395
-1.35595077	0.000708219	0.030758875	-3.284413216	-7.30E-07	0.033333397
-1.349500851	0.00062129	0.03362123	-3.275119887	-7.45E-07	0.033333398
-1.336150064	0.000848452	0.034816828	-3.265826559	-7.61E-07	0.0333334
-1.33105348	-0.000362153	0.033691128	-3.256533231	-7.77E-07	0.033333401
-1.321301759	4.61657E-05	0.029867899	-3.247239904	-7.92E-07	0.033333403
-1.312226171	-0.0001545	0.028927233	-3.237946576	-8.09E-07	0.033333404
-1.304749779	0.001819431	0.030410781	-3.228653249	-8.25E-07	0.033333406
-1.298138877	7.1932E-05	0.030794361	-3.219359922	-8.41E-07	0.033333407
-1.287859926	-0.000763324	0.029378106	-3.210066596	-8.58E-07	0.033333409
-1.279635582	-7.83395E-05	0.02862669	-3.200773269	-8.75E-07	0.03333341
-1.272798457	-0.000529339	0.028538178	-3.191479943	-8.93E-07	0.033333412
-1.264236083	0.001255407	0.028461686	-3.182186618	-9.10E-07	0.033333414
-1.253178796	-0.000850777	0.028145082	-3.172893292	-9.28E-07	0.033333416
-1.246279424	-0.001301915	0.028196579	-3.163599967	-9.46E-07	0.033333417
-1.239451988	0.000503933	0.028568331	-3.154306642	-9.64E-07	0.033333419
-1.228428131	-0.001002205	0.02971417	-3.145013317	-9.83E-07	0.033333421
-1.220026919	-0.001346783	0.030690133	-3.135719993	-1.00E-06	0.033333423
-1.212960423	0.000417643	0.031239226	-3.126426669	-1.02E-06	0.033333425
-1.204449548	-4.20155E-05	0.031377298	-3.117133345	-1.04E-06	0.033333427
-1.195633945	0.002571215	0.030884771	-3.107840022	-1.06E-06	0.033333428
-1.186648138	0.000679948	0.030480369	-3.098546699	-1.08E-06	0.03333343
-1.180031031	-0.000321655	0.031078323	-3.089253376	-1.10E-06	0.033333432
-1.170132688	-0.000505183	0.032152117	-3.079960054	-1.12E-06	0.033333434
-1.161761584	-0.000785902	0.029256038	-3.070666732	-1.14E-06	0.033333437
-1.152395167	0.001009563	0.023634077	-3.06137341	-1.16E-06	0.033333439
-1.145402298	2.78797E-05	0.025871409	-3.052080089	-1.18E-06	0.033333441
