exp:x/lambda	exp:y/lambda	exp:z/lambda	theory:x/lambda	theory:y/lambda	theory:z/lambda
-1.999539626	-0.001107617	0.029231934	-4	0	0.033333333
-1.990679267	-0.000756931	0.029178772	-3.990706659	-4.46E-09	0.033333334
-1.980469356	-0.002106322	0.0291138	-3.981413318	-8.96E-09	0.033333334
-1.976572939	-0.001272756	0.029069383	-3.972119977	-1.35E-08	0.033333334
-1.966962076	-0.000345027	0.028959826	-3.962826636	-1.81E-08	0.033333335
-1.956966287	0.000831958	0.028845881	-3.953533296	-2.28E-08	0.033333335
-1.949246406	-0.000413729	0.028853967	-3.944239955	-2.75E-08	0.033333335
-1.940769259	-0.002829549	0.028879553	-3.934946614	-3.23E-08	0.033333336
-1.934210415	6.04185E-05	0.028899349	-3.925653274	-3.72E-08	0.033333336
-1.92509537	0.000369698	0.029734985	-3.916359933	-4.21E-08	0.033333337
-1.916144887	-0.001265037	0.031041041	-3.907066593	-4.70E-08	0.033333337
-1.908089781	-0.001479288	0.032002224	-3.897773252	-5.20E-08	0.033333337
-1.899721227	-0.000581467	0.030937285	-3.888479912	-5.71E-08	0.033333338
-1.892684296	-0.000915381	0.030041801	-3.879186572	-6.22E-08	0.033333338
-1.885087781	-0.002339376	0.029107571	-3.869893232	-6.74E-08	0.033333339
-1.875875433	-0.002223033	0.031123227	-3.860599892	-7.27E-08	0.033333339
-1.86756323	-2.76317E-05	0.032941932	-3.851306552	-7.80E-08	0.03333334
-1.858049721	-0.000482644	0.032900671	-3.842013212	-8.34E-08	0.03333334
-1.850215222	-0.001099369	0.031251941	-3.832719872	-8.89E-08	0.03333334
-1.842921757	0.001413222	0.02971707	-3.823426532	-9.44E-08	0.033333341
-1.833178631	-0.000977805	0.028599354	-3.814133192	-1.00E-07	0.033333341
-1.825497636	0.001076904	0.029565623	-3.804839853	-1.06E-07	0.033333342
-1.817941754	0.001050172	0.030516152	-3.795546513	-1.11E-07	0.033333342
-1.808074151	0.000552585	0.031404549	-3.786253174	-1.17E-07	0.033333343
-1.800666197	0.000701379	0.030885014	-3.776959834	-1.23E-07	0.033333343
-1.793339911	-0.001284494	0.030371206	-3.767666495	-1.29E-07	0.033333344
-1.784558475	-0.000957442	0.029977699	-3.758373156	-1.35E-07	0.033333344
-1.776726092	-0.001216398	0.0299604	-3.749079817	-1.41E-07	0.033333345
-1.767251799	-0.000212759	0.029939475	-3.739786478	-1.47E-07	0.033333345
-1.759033687	-0.000918222	0.029921324	-3.730493139	-1.54E-07	0.033333346
-1.751062277	-0.000921685	0.029005002	-3.7211998	-1.60E-07	0.033333346
-1.744351965	-0.002010378	0.028196327	-3.711906461	-1.66E-07	0.033333347
-1.73620014	-0.001213793	0.0280944	-3.702613122	-1.73E-07	0.033333347
-1.727720065	-0.001693927	0.029024652	-3.693319784	-1.79E-07	0.033333348
-1.719532504	-0.001145647	0.029922817	-3.684026445	-1.86E-07	0.033333348
-1.710297716	-0.000547749	0.030559563	-3.674733107	-1.93E-07	0.033333349
-1.702439573	-0.000338677	0.030544443	-3.665439768	-2.00E-07	0.03333335
-1.694440198	-0.001306075	0.030529051	-3.65614643	-2.07E-07	0.03333335
-1.686335055	0.000821758	0.030683723	-3.646853092	-2.14E-07	0.033333351
-1.67709107	0.000800507	0.031040349	-3.637559754	-2.21E-07	0.033333351
-1.668268972	-0.000483142	0.031380699	-3.628266416	-2.28E-07	0.033333352
-1.661698809	6.09732E-05	0.031013423	-3.618973078	-2.35E-07	0.033333353
-1.653354158	0.001470375	0.030234161	-3.609679741	-2.42E-07	0.033333353
-1.643957045	0.000727103	0.029356615	-3.600386403	-2.50E-07	0.033333354
-1.637807692	0.000411822	0.02948369	-3.591093066	-2.58E-07	0.033333355
-1.626940394	0.001692767	0.029908737	-3.581799728	-2.65E-07	0.033333355
-1.620566981	0.000543813	0.030158017	-3.572506391	-2.73E-07	0.033333356
-1.612209019	0.000778875	0.030262917	-3.563213054	-2.81E-07	0.033333357
-1.604167496	0.000473801	0.029985452	-3.553919717	-2.89E-07	0.033333357
-1.595797743	0.000256438	0.029696661	-3.54462638	-2.97E-07	0.033333358
-1.588150836	-0.001424222	0.029759029	-3.535333043	-3.05E-07	0.033333359
-1.579927327	0.000472246	0.03014788	-3.526039706	-3.13E-07	0.033333359
-1.571480842	0.000350819	0.030547273	-3.51674637	-3.22E-07	0.03333336
-1.56266201	-0.001303571	0.030552851	-3.507453033	-3.30E-07	0.033333361
-1.554670528	-6.56304E-05	0.029813081	-3.498159697	-3.39E-07	0.033333362
-1.547196326	-9.55115E-05	0.029121197	-3.488866361	-3.48E-07	0.033333362
-1.537614311	-0.000184189	0.029120895	-3.479573025	-3.56E-07	0.033333363
-1.531549199	-0.000949864	0.029658819	-3.470279689	-3.65E-07	0.033333364
-1.523500037	0.000316322	0.030372711	-3.460986353	-3.74E-07	0.033333365
-1.515109756	-0.001000999	0.031624114	-3.451693017	-3.84E-07	0.033333366
-1.506758496	0.001706252	0.033017186	-3.442399682	-3.93E-07	0.033333366
-1.496339854	0.000473871	0.034755119	-3.433106347	-4.02E-07	0.033333367
-1.488663483	0.00137608	0.032759709	-3.423813011	-4.12E-07	0.033333368
-1.481442143	-0.001563146	0.03087926	-3.414519676	-4.22E-07	0.033333369
-1.473738615	-0.000401642	0.028873249	-3.405226341	-4.32E-07	0.03333337
-1.466653874	0.000576536	0.030240629	-3.395933007	-4.42E-07	0.033333371
-1.456208886	0.001422259	0.033529022	-3.386639672	-4.52E-07	0.033333372
-1.44841071	0.001410466	0.034486964	-3.377346338	-4.62E-07	0.033333373
-1.439963698	0.001765001	0.033396957	-3.368053003	-4.72E-07	0.033333374
-1.432441069	-0.001262878	0.032426232	-3.358759669	-4.83E-07	0.033333375
-1.424793995	0.001173834	0.031439449	-3.349466335	-4.94E-07	0.033333376
-1.41664152	-0.000237609	0.030910426	-3.340173001	-5.04E-07	0.033333377
-1.408004268	-0.00017506	0.03049199	-3.330879668	-5.15E-07	0.033333378
-1.400195571	-0.001254551	0.030113693	-3.321586334	-5.27E-07	0.033333379
-1.390684996	-4.69318E-05	0.030016535	-3.312293001	-5.38E-07	0.03333338
-1.38257196	-0.002248398	0.030040706	-3.302999668	-5.49E-07	0.033333381
-1.37508859	-0.001064451	0.030063001	-3.293706335	-5.61E-07	0.033333382
-1.364874247	-0.00086884	0.029541726	-3.284413002	-5.73E-07	0.033333383
-1.358310742	-0.002120955	0.028806128	-3.27511967	-5.85E-07	0.033333384
-1.349829635	-0.001101109	0.027855617	-3.265826337	-5.97E-07	0.033333385
-1.340822849	0.00192542	0.029568959	-3.256533005	-6.09E-07	0.033333386
-1.334055364	-0.000387539	0.03162597	-3.247239673	-6.21E-07	0.033333388
-1.32571743	0.000195378	0.034160327	-3.237946341	-6.34E-07	0.033333389
-1.316570415	-0.000875498	0.032299692	-3.22865301	-6.47E-07	0.03333339
-1.308887668	-0.000729085	0.030024639	-3.219359679	-6.60E-07	0.033333391
-1.300408806	0.000660901	0.027513837	-3.210066347	-6.73E-07	0.033333392
-1.293121343	-0.000411712	0.028614192	-3.200773016	-6.86E-07	0.033333394
-1.284591709	-0.00021487	0.030911303	-3.191479686	-7.00E-07	0.033333395
-1.27672746	-0.000355116	0.033029219	-3.182186355	-7.14E-07	0.033333396
-1.267644742	9.49528E-05	0.031917453	-3.172893025	-7.28E-07	0.033333398
-1.260147095	-0.000180554	0.030774448	-3.163599695	-7.42E-07	0.033333399
-1.25166057	0.000502707	0.029480691	-3.154306365	-7.56E-07	0.033333401
-1.242686173	0.000541823	0.028542588	-3.145013035	-7.71E-07	0.033333402
-1.233249413	-0.000358015	0.02778272	-3.135719706	-7.85E-07	0.033333403
-1.227455538	0.000292552	0.027316185	-3.126426377	-8.00E-07	0.033333405
-1.217745976	0.000137233	0.028474465	-3.117133048	-8.16E-07	0.033333406
-1.208879261	-5.71115E-05	0.030178208	-3.107839719	-8.31E-07	0.033333408
-1.201567414	0.000663453	0.031335938	-3.098546391	-8.47E-07	0.033333409
-1.194229537	0.001798282	0.031755182	-3.089253063	-8.63E-07	0.033333411
-1.185209648	1.67217E-05	0.032270526	-3.079959735	-8.79E-07	0.033333413
-1.177432067	0.001105741	0.032710204	-3.070666408	-8.95E-07	0.033333414
-1.171468023	0.001123674	0.03289832	-3.06137308	-9.12E-07	0.033333416
-1.159574745	0.002453343	0.033273454	-3.052079753	-9.28E-07	0.033333418
-1.152820839	0.001020141	0.033486483	-3.042786427	-9.46E-07	0.033333419
-1.143499626	-0.000123978	0.032188725	-3.0334931	-9.63E-07	0.033333421
-1.136158088	0.000390123	0.031134128	-3.024199774	-9.81E-07	0.033333423
-1.127936453	0.000210491	0.029959735	-3.014906448	-9.98E-07	0.033333425
-1.119986714	0.000906645	0.02981301	-3.005613123	-1.02E-06	0.033333426
-1.11167843	0.000625189	0.029659668	-2.996319797	-1.04E-06	0.033333428
-1.104028132	0.001126433	0.030242665	-2.987026472	-1.05E-06	0.03333343
-1.093354887	0.001194327	0.033191588	-2.977733148	-1.07E-06	0.033333432
-1.086192055	0.001938309	0.035170614	-2.968439824	-1.09E-06	0.033333434
-1.079127178	0.00060023	0.035443534	-2.9591465	-1.11E-06	0.033333436
-1.069947374	0.000915862	0.033790271	-2.949853176	-1.13E-06	0.033333438
-1.061409887	-0.000579492	0.032252688	-2.940559853	-1.15E-06	0.03333344
-1.054496964	0.002348847	0.031418379	-2.93126653	-1.17E-06	0.033333442
-1.044016892	0.000997703	0.031064989	-2.921973207	-1.19E-06	0.033333445
