lambda/a	a [mm]	<h> [mm]	slope k
9	0.002	3.78E-05	0.005190104
9	0.002	0.000397791	0.003017677
9	0.002	3.03E-05	0.005850484
9	0.002	7.39E-05	0.005611941
9	0.002	3.03E-05	0.006168944
9	0.002	2.83E-05	0.005830165
9	0.002	3.41E-05	0.006032239
9	0.002	9.61E-05	0.004154738
9	0.002	0.000718661	0.001610307
9	0.002	4.74E-05	0.005190155
9	0.002	0.000584801	0.001848037
9	0.002	0.000579963	0.002089991
9	0.002	0.000548585	0.002439505
9	0.002	0.000480813	0.002247708
9	0.002	0.000866697	0.001543001
9	0.002	0.000175649	0.003704469
9	0.002	6.78E-05	0.005631194
9	0.002	3.01E-05	0.006048829
9	0.002	0.0012203	0.000695852
9	0.002	0.000335507	0.003093812
9	0.002	0.000695339	0.002003892
9	0.002	0.001021847	0.000951214
9	0.002	0.001274006	0.000751862
9	0.002	0.000504895	0.002335782
9	0.002	0.000103736	0.005077661
9	0.002	0.000660563	0.001838028
9	0.002	4.09E-05	0.005450343
9	0.002	0.00039869	0.002499839
9	0.002	0.000103432	0.004866741
9	0.002	0.000420892	0.002705443
9	0.002	0.000384941	0.002807199
9	0.002	0.000135168	0.004086169
9	0.002	0.00016625	0.00442272
9	0.002	0.000547009	0.001877902
9	0.002	0.000138703	0.004602677
9	0.002	7.58E-05	0.005888187
9	0.002	0.000323328	0.002896604
9	0.002	0.000562317	0.002573936
9	0.002	0.000167212	0.004337879
9	0.002	0.000192985	0.003708647
9	0.002	0.000505369	0.002333845
6	0.002	4.77E-05	0.005945426
6	0.002	4.13E-05	0.004804531
6	0.002	3.00E-05	0.004961827
6	0.002	0.000207159	0.003467184
6	0.002	0.000194532	0.003604317
6	0.002	0.000197671	0.003395572
6	0.002	8.76E-05	0.004845324
6	0.002	0.0002885	0.002821901
6	0.002	0.000319352	0.002500253
6	0.002	0.000378711	0.002218972
6	0.002	0.00016699	0.003515648
6	0.002	5.94E-05	0.005038104
6	0.002	0.000687698	0.000984125
6	0.002	0.00072719	0.000869144
6	0.002	0.000262635	0.002831351
6	0.002	0.000661332	0.001326184
6	0.002	0.00049639	0.00157973
6	0.002	0.000268962	0.002701873
6	0.002	0.000773841	0.001043616
6	0.002	0.001658308	0.000253245
6	0.002	5.50E-05	0.005600984
6	0.002	0.000108917	0.004006265
6	0.002	0.000120222	0.003599873
6	0.002	0.000463077	0.002183904
6	0.002	0.000518292	0.001807087
6	0.002	0.000412747	0.001954825
6	0.002	0.000458199	0.001508192
6	0.002	0.000151329	0.003603198
6	0.002	0.000412038	0.002113358
6	0.002	0.000150212	0.00367624
6	0.002	0.000772271	0.00092558
6	0.002	8.31E-05	0.004882312
6	0.002	0.000739542	0.001003005
6	0.002	0.000557537	0.001606571
6	0.002	0.000475405	0.00204885
6	0.002	0.000242761	0.002863409
6	0.002	0.000529452	0.001835777
6	0.002	0.000559045	0.001134988
6	0.002	0.000160368	0.003612254
6	0.002	0.000594908	0.001444123
6	0.002	0.000512601	0.001950234
6	0.002	0.000352102	0.002513791
6	0.002	0.000279928	0.002683278
3	0.002	3.36E-05	0.008737308
3	0.002	0.000268132	0.001945272
3	0.002	0.000182631	0.003348257
3	0.002	0.000540073	0.000904394
3	0.002	0.000399392	0.001740763
3	0.002	6.86E-05	0.006300614
3	0.002	0.000391391	0.001373188
3	0.002	3.13E-05	0.008926123
3	0.002	0.000121565	0.004204425
