exp: a=1.6 x/lambda	exp: a=1.6 y/lambda	exp: a=2.0 x/lambda	exp: a=2.0 y/lambda	theory: x/lambda	theory: y/lambda
0.000287717	0.002110831	0.00176148	0.003427962	0	0
0.000335519	0.002388099	0.006989129	0.004555629	0.009306519	-2.05E-05
0.006771644	0.000637363	0.011916445	0.003370298	0.018614937	-2.18E-05
0.011798213	0.001079798	0.019750288	0.001164554	0.027927077	-4.24E-06
0.015450758	0.002313067	0.024736296	0.002320353	0.037244561	3.20E-05
0.020563002	0.000874486	0.029646344	0.00479691	0.046568811	8.65E-05
0.024621488	-0.000563236	0.034452926	0.001883607	0.055901055	0.000159031
0.026884346	0.000886412	0.041270938	0.002864278	0.065242334	0.000249032
0.032330693	0.002075267	0.046551786	0.003589763	0.074593504	0.000356069
0.037790211	0.002529757	0.052383663	0.004278589	0.083955247	0.000479619
0.042688319	0.003225908	0.059842886	0.004175901	0.093328081	0.000619117
0.047424668	0.000314241	0.064346098	0.002814196	0.102712363	0.000773957
0.051930004	0.001262115	0.069996235	0.005636422	0.112108304	0.000943489
0.054889533	0.000307937	0.075502238	0.004369489	0.121515974	0.00112703
0.059158414	0.001946859	0.081579701	0.004065095	0.130935316	0.001323857
0.064328786	0.002091048	0.086680405	0.004744955	0.140366149	0.001533213
0.068598285	0.000403311	0.093257413	0.004174669	0.149808181	0.001754309
0.07269301	-0.000107308	0.09733764	0.004871105	0.159261018	0.001986326
0.077219795	0.001449983	0.103780348	0.002348922	0.168724171	0.002228417
0.082376635	0.001158156	0.110854708	0.004372936	0.178197067	0.002479707
0.085946501	0.001165755	0.11564741	0.004402467	0.187679054	0.0027393
0.09120021	-0.000516709	0.123305906	0.004967464	0.197169414	0.003006276
0.093822886	0.001876737	0.126513067	0.002730766	0.206667366	0.003279697
0.098279303	0.001748696	0.133264063	0.005184718	0.216172078	0.003558609
0.103124253	0.001860155	0.139636775	0.003931402	0.225682674	0.003842041
0.10937246	0.002831458	0.144550541	0.005717015	0.23519824	0.004129013
0.113214378	0.002163161	0.150899505	0.004597331	0.244717832	4.42E-03
0.116347295	0.003658971	0.154814504	0.004917974	0.254240488	0.004709608
0.120384392	0.001956447	0.163451631	0.007035564	0.263765228	0.005001231
0.125722796	0.00181382	0.166987376	0.006573101	0.273291067	0.0052924
0.130760507	0.001674063	0.172853946	0.006328469	0.282817022	0.005582114
0.136109784	0.003230934	0.178879642	0.006388921	0.292342117	0.005869372
0.139260635	0.002999123	0.185299577	0.008115611	0.301865391	0.006153182
0.145127205	0.002581821	0.189195758	0.005235543	0.311385908	0.006432559
0.149833975	0.003291025	0.196323614	0.006920368	0.320902762	0.00670653
0.152486747	0.001794778	0.201766721	0.007406905	0.330415084	0.006974134
0.158830518	0.003411376	0.209050416	0.007774398	0.339922051	0.00723443
0.16165022	0.004266626	0.213499967	0.005494269	0.349422895	0.007486491
0.167154619	0.001437512	0.220107167	0.006553523	0.358916909	0.007729414
0.171229411	0.003223898	0.227387288	0.006280461	0.368403453	0.007962319
0.173418173	0.004006112	0.231378802	0.007186654	0.377881966	0.008184352
0.17709826	0.001371989	0.23704321	0.007994419	0.387351972	0.008394686
0.184846518	0.003452659	0.242243572	0.008059661	0.396813088	0.008592525
0.188693082	0.003642089	0.248815349	0.008045391	0.406265033	0.008777107
0.192519857	0.003713933	0.253349292	0.008263937	0.415707636	0.008947703
0.197418841	0.004077878	0.26022727	0.00842822	0.425140844	0.009103621
0.201233292	0.004102981	0.266094637	0.008153428	0.434564731	0.009244209
0.206023423	0.004189722	0.27204989	0.010410187	0.443979507	0.009368855
0.211348139	0.006449504	0.276060776	0.006080509	0.453385522	0.009476989
0.213547689	0.005461874	0.28159972	0.007782772	0.462783281	0.009568088
0.220413306	0.004720692	0.289352261	0.008002331	0.472173445	0.009641673
0.223532794	0.0060086	0.291452845	0.00999213	0.48155684	0.009697315
0.228181681	0.00565616	0.298906965	0.008975393	0.490934464	0.009734636
0.232156861	0.004477179	0.304909822	0.00614601	0.50030749	0.009753307
0.236672444	0.003898119	0.310822122	0.008090626	0.509677271	0.009753056
0.242236543	0.004710244	0.317147235	0.009408367	0.519045341	0.009733664
0.24561351	0.006464186	0.32264197	0.011108425	0.528413414	0.009694972
0.250479501	0.006104533	0.32805222	0.010171691	0.53778338	0.009636878
0.256625242	0.0039221	0.333223505	0.011199545	0.547157299	0.009559342
0.261702966	0.004371779	0.339611469	0.009174576	0.556537391	0.009462387
0.263864247	0.004808553	0.34542658	0.011033352	0.565926014	0.009346102
0.265224602	0.006164531	0.349166988	0.010277248	0.57532565	0.009210641
0.27248616	0.006097255	0.356900183	0.011544655	0.584738871	0.009056229
0.279720763	0.008703926	0.359981993	0.010042741	0.594168301	0.00888316
0.283394824	0.005523709	0.366769392	0.011521244	0.603683257	0.008680284
0.287107168	0.0072846	0.373225698	0.010406297	0.613204437	0.008458928
0.290848147	0.007393557	0.378528661	0.009990593	0.622734442	0.008219765
0.294807984	0.006228712	0.385079199	0.010899041	0.632275747	0.00796354
0.301539796	0.005406564	0.39315949	0.011667541	0.641830628	0.007691067
0.302250581	0.007376788	0.397563362	0.010809836	0.651401093	0.007403229
0.309243291	0.008558696	0.401906218	0.01143372	0.660988808	0.007100974
0.31292598	0.008559976	0.407772762	0.013451117	0.670595017	0.006785314
0.318028537	0.006344848	0.415289592	0.009560574	0.68022048	0.006457326
0.321222244	0.007224834	0.419167145	0.011435452	0.689865407	0.006118142
0.326890308	0.007256798	0.425254523	0.009433499	0.699529415	0.005768952
0.333222069	0.007406567	0.431467908	0.011163833	0.709211499	0.005410998
0.333812976	0.00853624	0.437869953	0.011780612	0.718910029	0.005045568
0.340780913	0.008084162	0.442137709	0.011241919	0.728622768	0.004673992
0.344599718	0.007823776	0.448129362	0.011540948	0.738346927	0.004297634
0.3493609	0.008357971	0.453297749	0.011683003	0.748079245	0.003917886
0.354186173	0.008228929	0.459934876	0.011275255	0.757816094	0.003536161
0.357686948	0.009422485	0.465039002	0.011395157	0.767553606	0.003153885
0.362795615	0.008224147	0.470600979	0.011204438	0.777287823	0.002772486
0.367145474	0.008479539	0.476991447	0.0112371	0.787014844	0.002393387
0.372607074	0.010742899	0.481863992	0.010765603	0.79673097	0.002018
0.372938467	0.010982237	0.48921675	0.01133802	0.806432849	0.001647713
0.379445638	0.008501067	0.492999918	0.012880492	0.816117584	0.001283887
0.383450093	0.008414116	0.50011815	0.010318505	0.825782831	0.000927843
0.387803827	0.011017416	0.505248366	0.011505148	0.835426862	0.000580863
0.392599853	0.010681771	0.510055194	0.011512573	0.845048594	0.000244176
0.397702987	0.01057898	0.516015602	0.011303622	0.8546476	-8.10E-05
0.402628402	0.008837121	0.522850299	0.011199648	0.864224083	-0.000393663
0.407659587	0.010625445	0.527885406	0.009194331	0.873778834	-0.000692636
0.412314045	0.010554724	0.534528689	0.011121506	0.883313177	-0.000976963
0.414411678	0.009629696	0.539440973	0.010967038	0.892828894	-0.001245715
0.420573207	0.008719005	0.545186126	0.00884987	0.902328148	-0.001498033
0.426785342	0.010953287	0.551549012	0.013675053	0.911813405	-0.001733129
0.427115471	0.010691137	0.556862202	0.010305957	0.921287357	-0.001950287
0.431973788	0.010400594	0.56250837	0.009052046	0.930752843	-0.002148866
0.436562665	0.010772368	0.567720642	0.011556284	0.940212789	-0.002328298
0.441346608	0.010707573	0.573176312	0.011195049	0.949587754	-0.002478414
0.446263292	0.010315822	0.579505141	0.010431496	0.958948183	-0.002609488
0.44903259	0.009700143	0.584045802	0.0093557	0.968296912	-0.00272132
0.453790716	0.008095364	0.590777692	0.010293839	0.977636684	-0.002813776
0.46016178	0.011756096	0.595728902	0.011136864	0.986970114	-0.002886793
0.465964387	0.010449206	0.601574753	0.010827786	0.996299667	-0.002940371
0.467781921	0.009396014	0.60915639	0.009121281	1.005627637	-0.002974571
0.471013583	0.010862827	0.614697176	0.010586758	1.014956136	-0.002989515
0.475663558	0.010362239	0.620393959	0.00977126	1.024287088	-0.002985384
0.48249696	0.010932832	0.625002228	0.007172895	1.033622222	-0.002962413
0.48558	0.010535355	0.628631327	0.010905835	1.042963072	-0.002920893
0.48886002	0.010585867	0.63785665	0.009875415	1.05231098	-0.002861169
0.49293648	0.010818702	0.641975579	0.009057527	1.061667101	-0.002783632
0.500627443	0.010690829	0.64657198	0.008519404	1.071032403	-0.002688727
0.505606758	0.010343288	0.654119151	0.006707808	1.080407681	-0.002576942
0.507060089	0.010467061	0.658539073	0.009202089	1.089793559	-0.002448813
0.512525208	0.011619526	0.665285658	0.008942747	1.099190498	-0.002304919
0.515376208	0.010421944	0.668610313	0.008091713	1.10859881	-0.002145879
0.52238372	0.011344368	0.676979329	0.009434481	1.118018661	-0.001972355
0.524956778	0.010377402	0.682092579	0.006896919	1.127450083	-0.001785044
0.531251051	0.009554953	0.688608141	0.006843636	1.136892981	-0.001584681
0.53702483	0.010613199	0.693204781	0.007480478	1.146347145	-0.001372034
0.539172641	0.010425853	0.697940745	0.005984233	1.155812254	-0.001147903
0.544361159	0.010461823	0.704949617	0.00510383	1.16528789	-0.000913117
0.548688162	0.008122726	0.712019198	0.006799037	1.174773543	-0.000668536
0.554542539	0.010093695	0.715692968	0.006689267	1.184268623	-0.000415041
0.557543481	0.009457368	0.720944339	0.006959826	1.193772463	-0.00015354
0.56164899	0.009763349	0.727568779	0.005118668	1.203284333	0.00011504
0.564175926	0.010129562	0.734530577	0.00594918	1.212803444	0.000389754
0.569018087	0.010001531	0.739855285	0.005335776	1.222328957	0.00066964
0.574110749	0.010111916	0.744097366	0.00638688	1.231859993	0.000953722
