exp:lambda/a	exp:<h>/a	exp:k	theory:lambda/a	theory:<h>/a	theory:k
3	0.025957458	0.034256789	3	0.099967696	0.015003938
3	0.550825657	0.000832332	3	0.150472775	0.00691913
3	0.078495567	0.0177762	3	0.200279238	0.003438305
3	0.020882387	0.036412297	3	0.300094974	0.000993054
3	0.645852442	0.000571356	3	0.49995909	0.000117856
3	0.018850938	0.037482186	3	0.599930188	4.10E-05
3	0.586953749	0.000812788	6	0.151521918	0.003666429
3	0.018171242	0.036496849	6	0.202427589	0.002816347
3	0.31981022	0.003384439	6	0.30141485	0.001630447
3	0.334985285	0.001567917	6	0.400877377	0.001000366
3	0.015418818	0.03968574	6	0.500555365	0.000630192
3	0.212193161	0.00519201	6	0.600355779	0.000391676
3	0.028053382	0.030197195	9	0.204205262	0.000977662
3	0.295104479	0.002349151	9	0.302691481	0.000741426
3	0.185324897	0.005677394	9	0.401812237	0.000558662
3	0.130994354	0.008799576	9	0.501260121	0.000411569
3	0.211432005	0.004282854	9	0.600902401	0.000317489
3	0.153159926	0.007886725	9	0.700658557	0.00024229
3	0.22617376	0.00397073			
3	0.096945806	0.013062216			
3	0.791393099	0.000543356			
3	0.292049331	0.003275365			
3	0.956599052	0.000354954			
3	0.630121199	0.000943375			
3	0.027618164	0.026792779			
3	0.064463275	0.018808807			
3	0.166423418	0.006532107			
3	0.253745316	0.004571181			
3	0.632990062	0.000957049			
3	1.776187285	1.60E-06			
3	1.094544363	0.000239629			
3	0.073497233	0.015623839			
3	1.120941123	0.000246724			
3	0.764698708	0.000727003			
3	0.049086859	0.019617037			
3	0.922468159	0.000481138			
3	0.498023069	0.001580913			
3	1.050643857	0.000124103			
3	0.625081264	0.000757672			
3	0.836752696	0.000440289			
3	0.045394865	0.019887725			
3	0.056288977	0.015758829			
3	0.032097972	0.033549984			
3	0.029608599	0.035389396			
3	0.140297446	0.011940282			
3	0.516666422	0.001394616			
3	0.382424116	0.003051369			
3	0.334555406	0.004042413			
3	0.227421375	0.006848578			
3	0.377977498	0.002660605			
3	0.393821154	0.002404038			
3	0.248253627	0.006540752			
3	0.215305258	0.006997798			
3	0.549293843	0.000891728			
3	0.501749536	0.001118143			
6	0.019668208	0.011530834			
6	0.423698674	0.002816062			
6	1.060621968	0.000955486			
6	0.830175436	0.001539239			
6	0.067631672	0.008111676			
6	0.443610595	0.00253446			
6	0.698835471	0.001672543			
6	0.332659813	0.00317837			
6	0.119944265	0.006356549			
6	0.612650055	0.001742766			
6	0.971468052	0.001099965			
6	0.475100261	0.002365991			
6	0.497480785	0.002424091			
6	0.558870554	0.001889644			
6	0.891255831	0.001200862			
6	0.522992953	0.001902978			
6	0.245274213	0.003769341			
6	0.767836949	0.001018339			
6	0.015230469	0.010605361			
6	0.066821207	0.008919653			
6	1.078606494	0.000773427			
6	1.323960531	0.000468083			
6	0.458100563	0.002797609			
6	0.770098229	0.001268574			
6	0.054165711	0.007706371			
6	0.079688888	0.008494944			
6	0.057275694	0.00871193			
6	0.550750623	0.002100431			
6	0.252596492	0.004645352			
6	0.491131312	0.0025673			
6	0.119571191	0.006770107			
6	1.045680861	0.000934587			
6	0.739623724	0.001964128			
6	0.157835748	0.005497903			
6	0.113979224	0.007622931			
6	0.016665351	0.013444123			
6	0.047684009	0.012034126			
6	0.286166279	0.004203052			
6	0.01933434	0.012643632			
6	0.017624623	0.0126102			
6	1.519951351	0.000275926			
6	0.164099857	0.006223739			
6	0.855093679	0.001278589			
6	0.257514374	0.005807497			
6	0.393985628	0.003130084			
6	0.709843524	0.001606877			
6	0.377701254	0.003475588			
6	0.7734508	0.001602534			
6	0.542068076	0.002562288			
6	1.088002543	0.000818338			
6	0.304188437	0.004381545			
6	0.597337479	0.002359441			
6	0.618027105	0.002233559			
6	0.926294813	0.001361096			
6	0.308826656	0.004518112			
9	0.026045419	0.002405092			
9	0.188370449	0.000781202			
9	0.024874748	0.002460549			
9	0.025386104	0.002211358			
9	0.014473554	0.002672383			
9	0.270337859	0.000905118			
9	0.01971175	0.003525017			
9	0.238412458	0.000962805			
9	0.10513028	0.00140163			
9	0.124915234	0.001500873			
9	0.231216193	0.000936918			
9	0.018154982	0.002560449			
9	0.177510875	0.001026943			
9	0.202291068	0.000674354			
9	0.292595722	0.000742192			
9	0.027184015	0.001484603			
9	0.304833578	0.0006744			
9	0.026789483	0.002423355			
9	0.163710002	0.001736359			
9	0.028091212	0.002421461			
9	0.273672403	0.000434098			
9	0.584815758	0.000511795			
9	0.093364951	0.002120764			
9	0.209368748	0.001636802			
9	0.021999722	0.003073187			
9	0.403660813	0.00055119			
9	0.039093211	0.002174556			
9	0.278245076	0.000814288			
9	0.708426198	0.000267065			
9	0.38094808	0.00054008			
9	0.035141878	0.002959671			
9	0.336150002	0.001077668			
9	0.026776349	0.002747903			
9	0.065653399	0.002131497			
9	0.065245489	0.002108286			
9	0.328342985	0.00088315			
9	0.519039335	0.000318535			
9	0.579951754	0.000212689			
9	0.278285638	0.00107352			
9	0.391024099	0.000485484			
9	0.367512002	0.00077076			
9	0.416725381	0.000668114			
