exp:shape	exp:lambda/a	exp:mean delta/a	'exp:std delta/a	theory:shape	theory:lambda/a	theory:delta/a
cos	1.88976378	0.01757381	0.00060219	cos	0.62992126	0.000331182
cos	3.779527559	0.030453538	0.000923471	cos	1.25984252	0.001803468
cos	5.669291339	0.02686057	0.002346909	cos	1.88976378	0.00864815
rect	1.88976378	0.037417531	0.002887367	cos	2.519685039	0.017880135
rect	3.779527559	0.05007632	0.001793566	cos	3.149606299	0.02459694
rect	5.669291339	0.040499238	0.003119989	cos	3.779527559	0.027505504
				cos	4.409448819	0.027442876
				cos	5.039370079	0.025606429
				cos	5.669291339	0.022906959
				cos	6.299212598	0.019910742
				rect	0.62992126	0.000695823
				rect	1.25984252	0.003666017
				rect	1.88976378	0.015661783
				rect	2.519685039	0.030614801
				rect	3.149606299	0.04010788
				rect	3.779527559	0.042844565
				rect	4.409448819	0.04180793
				rect	5.039370079	0.039010826
				rect	5.669291339	0.035810639
				rect	6.299212598	0.032995324
						
